Year,Geography,Immig.,Reason,Age group,Both sexes,Men,Women
2006,Canada,"      Very recent immigrants, 5 years or less","  Business conditions, looked for full-time work in last month",15+,4.4,1.6,2.8
2006,Canada,"      Very recent immigrants, 5 years or less","  Business conditions, looked for full-time work in last month",15-24,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less","  Business conditions, looked for full-time work in last month",25-54,3.4,0,2.3
2006,Canada,"      Very recent immigrants, 5 years or less","  Business conditions, looked for full-time work in last month",55+,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less","  Could not find full-time work, looked for full-time work in last month",15+,7.8,3,4.8
2006,Canada,"      Very recent immigrants, 5 years or less","  Could not find full-time work, looked for full-time work in last month",15-24,0,0,0
2006,Canada,"      Very recent immigrants, 5 years or less","  Could not find full-time work, looked for full-time work in last month",25-54,6.3,2.4,4
2006,Canada,"      Very recent immigrants, 5 years or less","  Could not find full-time work, looked for full-time work in last month",55+,0,0,0
2006,Canada,      Recent immigrants 5+ years,"Part-time employment, all reasons",15+,435.4,146.3,289.1
2006,Canada,      Recent immigrants 5+ years,"Part-time employment, all reasons",15-24,92.5,44.5,48
2006,Canada,      Recent immigrants 5+ years,"Part-time employment, all reasons",25-54,217.9,51,166.9
2006,Canada,      Recent immigrants 5+ years,"Part-time employment, all reasons",55+,125,50.8,74.1
2006,Canada,      Recent immigrants 5+ years,  Own illness,15+,16.5,5,11.5
2006,Canada,      Recent immigrants 5+ years,  Own illness,15-24,0,0,0
2006,Canada,      Recent immigrants 5+ years,  Own illness,25-54,8.6,1.7,6.9
2006,Canada,      Recent immigrants 5+ years,  Own illness,55+,7.6,3.2,4.4
2006,Canada,      Recent immigrants 5+ years,  Caring for children,15+,48.7,3.4,45.3
2006,Canada,      Recent immigrants 5+ years,  Caring for children,15-24,0,0,0
2006,Canada,      Recent immigrants 5+ years,  Caring for children,25-54,46.2,2.9,43.4
2006,Canada,      Recent immigrants 5+ years,  Caring for children,55+,1.9,0,1.5
2006,Canada,      Recent immigrants 5+ years,  Other personal or family responsibilities,15+,18.2,2.7,15.5
2006,Canada,      Recent immigrants 5+ years,  Other personal or family responsibilities,15-24,0,0,0
2006,Canada,      Recent immigrants 5+ years,  Other personal or family responsibilities,25-54,12.4,0,11.1
2006,Canada,      Recent immigrants 5+ years,  Other personal or family responsibilities,55+,5.1,0,3.9
2006,Canada,      Recent immigrants 5+ years,  Going to school,15+,85.8,39.3,46.5
2006,Canada,      Recent immigrants 5+ years,  Going to school,15-24,70.3,33.8,36.5
2006,Canada,      Recent immigrants 5+ years,  Going to school,25-54,14.6,5.1,9.5
2006,Canada,      Recent immigrants 5+ years,  Going to school,55+,0,0,0
2006,Canada,      Recent immigrants 5+ years,  Personal preference,15+,144.8,50.4,94.4
2006,Canada,      Recent immigrants 5+ years,  Personal preference,15-24,4.5,2.1,2.5
2006,Canada,      Recent immigrants 5+ years,  Personal preference,25-54,56,14,42
2006,Canada,      Recent immigrants 5+ years,  Personal preference,55+,84.3,34.4,49.9
2006,Canada,      Recent immigrants 5+ years,  Other voluntary,15+,3,0,1.7
2006,Canada,      Recent immigrants 5+ years,  Other voluntary,15-24,0,0,0
2006,Canada,      Recent immigrants 5+ years,  Other voluntary,25-54,2.1,0,0
2006,Canada,      Recent immigrants 5+ years,  Other voluntary,55+,0,0,0
2006,Canada,      Recent immigrants 5+ years,"  Business conditions, did not look for full-time work in last month",15+,60.2,20.7,39.5
2006,Canada,      Recent immigrants 5+ years,"  Business conditions, did not look for full-time work in last month",15-24,7.3,3.3,4
2006,Canada,      Recent immigrants 5+ years,"  Business conditions, did not look for full-time work in last month",25-54,39,11.7,27.3
2006,Canada,      Recent immigrants 5+ years,"  Business conditions, did not look for full-time work in last month",55+,14,5.8,8.3
2006,Canada,      Recent immigrants 5+ years,"  Could not find full-time work, did not look for full-time work in last month",15+,17.6,5.8,11.8
2006,Canada,      Recent immigrants 5+ years,"  Could not find full-time work, did not look for full-time work in last month",15-24,2.5,1.7,0
2006,Canada,      Recent immigrants 5+ years,"  Could not find full-time work, did not look for full-time work in last month",25-54,11,2.6,8.4
2006,Canada,      Recent immigrants 5+ years,"  Could not find full-time work, did not look for full-time work in last month",55+,4.1,1.5,2.6
2006,Canada,      Recent immigrants 5+ years,"  Business conditions, looked for full-time work in last month",15+,22.5,10.4,12.1
2006,Canada,      Recent immigrants 5+ years,"  Business conditions, looked for full-time work in last month",15-24,4,2.1,1.9
2006,Canada,      Recent immigrants 5+ years,"  Business conditions, looked for full-time work in last month",25-54,15,6.2,8.8
2006,Canada,      Recent immigrants 5+ years,"  Business conditions, looked for full-time work in last month",55+,3.6,2.1,0
2006,Canada,      Recent immigrants 5+ years,"  Could not find full-time work, looked for full-time work in last month",15+,18.1,7.3,10.8
2006,Canada,      Recent immigrants 5+ years,"  Could not find full-time work, looked for full-time work in last month",15-24,2.2,0,0
2006,Canada,      Recent immigrants 5+ years,"  Could not find full-time work, looked for full-time work in last month",25-54,13,4.8,8.2
2006,Canada,      Recent immigrants 5+ years,"  Could not find full-time work, looked for full-time work in last month",55+,2.9,0,1.5
2006,Canada,"          Recent immigrants, 5+ to 10 years","Part-time employment, all reasons",15+,80.8,28.7,52.1
2006,Canada,"          Recent immigrants, 5+ to 10 years","Part-time employment, all reasons",15-24,33.2,16.4,16.8
2006,Canada,"          Recent immigrants, 5+ to 10 years","Part-time employment, all reasons",25-54,44.4,11.4,33
2006,Canada,"          Recent immigrants, 5+ to 10 years","Part-time employment, all reasons",55+,3.2,0,2.3
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Own illness,15+,1.5,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Own illness,15-24,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Own illness,25-54,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Own illness,55+,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Caring for children,15+,11.8,0,11.1
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Caring for children,15-24,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Caring for children,25-54,11.1,0,10.5
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Caring for children,55+,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Other personal or family responsibilities,15+,2.9,0,2.6
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Other personal or family responsibilities,15-24,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Other personal or family responsibilities,25-54,2.4,0,2.3
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Other personal or family responsibilities,55+,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Going to school,15+,30.5,14.7,15.9
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Going to school,15-24,25.4,13,12.4
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Going to school,25-54,5.1,1.7,3.4
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Going to school,55+,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Personal preference,15+,9.6,3.1,6.5
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Personal preference,15-24,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Personal preference,25-54,6.7,1.8,4.9
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Personal preference,55+,1.6,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Other voluntary,15+,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Other voluntary,15-24,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Other voluntary,25-54,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years",  Other voluntary,55+,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Business conditions, did not look for full-time work in last month",15+,11.4,4.2,7.1
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Business conditions, did not look for full-time work in last month",15-24,2.7,0,1.8
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Business conditions, did not look for full-time work in last month",25-54,8.4,3.2,5.2
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Business conditions, did not look for full-time work in last month",55+,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Could not find full-time work, did not look for full-time work in last month",15+,3.7,0,2.4
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Could not find full-time work, did not look for full-time work in last month",15-24,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Could not find full-time work, did not look for full-time work in last month",25-54,2.5,0,1.9
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Could not find full-time work, did not look for full-time work in last month",55+,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Business conditions, looked for full-time work in last month",15+,4.9,2.4,2.5
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Business conditions, looked for full-time work in last month",15-24,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Business conditions, looked for full-time work in last month",25-54,3.3,1.6,1.7
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Business conditions, looked for full-time work in last month",55+,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Could not find full-time work, looked for full-time work in last month",15+,4.1,1.8,2.3
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Could not find full-time work, looked for full-time work in last month",15-24,0,0,0
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Could not find full-time work, looked for full-time work in last month",25-54,3.2,0,1.8
2006,Canada,"          Recent immigrants, 5+ to 10 years","  Could not find full-time work, looked for full-time work in last month",55+,0,0,0
2006,Canada,"          Established immigrants, 10+ years","Part-time employment, all reasons",15+,354.6,117.6,237
2006,Canada,"          Established immigrants, 10+ years","Part-time employment, all reasons",15-24,59.3,28.1,31.2
2006,Canada,"          Established immigrants, 10+ years","Part-time employment, all reasons",25-54,173.6,39.6,134
2006,Canada,"          Established immigrants, 10+ years","Part-time employment, all reasons",55+,121.7,49.9,71.8
2006,Canada,"          Established immigrants, 10+ years",  Own illness,15+,14.9,4.8,10.1
2006,Canada,"          Established immigrants, 10+ years",  Own illness,15-24,0,0,0
2006,Canada,"          Established immigrants, 10+ years",  Own illness,25-54,7.4,1.6,5.8
2006,Canada,"          Established immigrants, 10+ years",  Own illness,55+,7.3,3.1,4.2
2006,Canada,"          Established immigrants, 10+ years",  Caring for children,15+,36.9,2.7,34.2
2006,Canada,"          Established immigrants, 10+ years",  Caring for children,15-24,0,0,0
2006,Canada,"          Established immigrants, 10+ years",  Caring for children,25-54,35.1,2.2,32.9
2006,Canada,"          Established immigrants, 10+ years",  Caring for children,55+,1.7,0,0
2006,Canada,"          Established immigrants, 10+ years",  Other personal or family responsibilities,15+,15.3,2.4,12.9
2006,Canada,"          Established immigrants, 10+ years",  Other personal or family responsibilities,15-24,0,0,0
2006,Canada,"          Established immigrants, 10+ years",  Other personal or family responsibilities,25-54,10,0,8.9
2006,Canada,"          Established immigrants, 10+ years",  Other personal or family responsibilities,55+,4.9,0,3.7
2006,Canada,"          Established immigrants, 10+ years",  Going to school,15+,55.2,24.6,30.6
2006,Canada,"          Established immigrants, 10+ years",  Going to school,15-24,44.9,20.8,24.1
2006,Canada,"          Established immigrants, 10+ years",  Going to school,25-54,9.5,3.4,6.1
2006,Canada,"          Established immigrants, 10+ years",  Going to school,55+,0,0,0
2006,Canada,"          Established immigrants, 10+ years",  Personal preference,15+,135.2,47.4,87.9
2006,Canada,"          Established immigrants, 10+ years",  Personal preference,15-24,3.3,0,2
2006,Canada,"          Established immigrants, 10+ years",  Personal preference,25-54,49.3,12.2,37.1
2006,Canada,"          Established immigrants, 10+ years",  Personal preference,55+,82.6,33.9,48.7
2006,Canada,"          Established immigrants, 10+ years",  Other voluntary,15+,2.4,0,0
2006,Canada,"          Established immigrants, 10+ years",  Other voluntary,15-24,0,0,0
2006,Canada,"          Established immigrants, 10+ years",  Other voluntary,25-54,1.7,0,0
2006,Canada,"          Established immigrants, 10+ years",  Other voluntary,55+,0,0,0
2006,Canada,"          Established immigrants, 10+ years","  Business conditions, did not look for full-time work in last month",15+,48.9,16.5,32.4
2006,Canada,"          Established immigrants, 10+ years","  Business conditions, did not look for full-time work in last month",15-24,4.5,2.4,2.1
2006,Canada,"          Established immigrants, 10+ years","  Business conditions, did not look for full-time work in last month",25-54,30.5,8.4,22.1
2006,Canada,"          Established immigrants, 10+ years","  Business conditions, did not look for full-time work in last month",55+,13.8,5.6,8.2
2006,Canada,"          Established immigrants, 10+ years","  Could not find full-time work, did not look for full-time work in last month",15+,13.9,4.4,9.5
2006,Canada,"          Established immigrants, 10+ years","  Could not find full-time work, did not look for full-time work in last month",15-24,1.5,0,0
2006,Canada,"          Established immigrants, 10+ years","  Could not find full-time work, did not look for full-time work in last month",25-54,8.5,2,6.5
2006,Canada,"          Established immigrants, 10+ years","  Could not find full-time work, did not look for full-time work in last month",55+,3.9,1.5,2.5
2006,Canada,"          Established immigrants, 10+ years","  Business conditions, looked for full-time work in last month",15+,17.6,8,9.6
2006,Canada,"          Established immigrants, 10+ years","  Business conditions, looked for full-time work in last month",15-24,2.7,0,0
2006,Canada,"          Established immigrants, 10+ years","  Business conditions, looked for full-time work in last month",25-54,11.7,4.6,7.1
